ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase,pm_period,pm_score_diff
1771901025,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.64500,-0.01000,1.44874,-0.014487,195477,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,1,6
1771901025,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.64000,-0.00500,1.67300,-0.008365,195585,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,1,6
1771901025,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.63000,-0.01000,2.14513,-0.021451,195585,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,1,6
1771901026,aec-nba-uta-hou-2026-02-23,Utah vs. Houston,DIP,0.12500,-0.00500,1.02062,-0.005103,113349,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,1,0
1771901026,aec-nba-uta-hou-2026-02-23,Utah vs. Houston,DIP,0.12000,-0.00500,2.19089,-0.010954,113379,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.02000,0.0000,LIVE,1,0
1771901028,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.62500,-0.00500,2.29528,-0.011476,195585,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.05000,0.0000,LIVE,1,6
1771901028,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,SPIKE,0.63000,0.00500,1.86802,0.009340,195585,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,1,6
1771901029,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.62500,-0.00500,2.04720,-0.010236,195585,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.05000,0.0000,LIVE,1,6
1771901029,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.62000,-0.00500,2.18017,-0.010901,195585,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,1,6
1771901031,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.61500,-0.00500,2.27580,-0.011379,195585,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,1,6
1771901032,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.59500,-0.02000,3.49046,-0.069809,277399,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.05000,0.0000,LIVE,3,4
1771901032,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.59500,-0.02000,3.09110,-0.061822,278219,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.05000,0.0000,LIVE,3,4
1771901032,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.58000,-0.01500,4.16605,-0.062491,278239,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.02000,0.0000,LIVE,3,4
1771901032,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,SPIKE,0.62500,0.01000,1.65744,0.016574,195743,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,1,6
1771901032,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,SPIKE,0.63000,0.00500,1.33953,0.006698,195743,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,1,6
1771901035,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,DIP,0.19000,-0.02000,3.33199,-0.066640,0,FADE,REJECT,REJECT_VOLUME,MEAN_REVERT,0.14000,0.0000,PRE_GAME,,
