ts_iso,ts_epoch,event,market_slug,event_url,market_url,price_prev,mid_before,mid,delta,abs_delta,z,abs_z,direction_strength,signal,volume,best_bid,best_ask,spread,percentile,severity,burst,trade_hint,regime,game_phase
2026-02-16T23:24:54Z,1771284294,Louisiana-Lafayette vs. Old Dominion,aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/event/aec-cbb-loulaf-old-2026-02-16,https://polymarket.us/market/aec-cbb-loulaf-old-2026-02-16,0.25350,0.25250,0.25650,0.00400,0.00400,-1.26,1.26,0.005046,SPIKE,155427,0.2520,0.2610,0.00900,95%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:54Z,1771284294,Akron vs. Western Michigan,aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/event/aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/market/aec-cbb-akron-wmich-2026-02-17,0.90600,0.90850,0.90550,-0.00300,0.00300,-2.96,2.96,-0.008882,DIP,1,0.8880,0.9230,0.03500,94%,WATCH,,FADE,MEAN_REVERT,PRE_GAME
2026-02-16T23:24:54Z,1771284294,Akron vs. Western Michigan,aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/event/aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/market/aec-cbb-akron-wmich-2026-02-17,0.90550,0.90500,0.90850,0.00350,0.00350,0.95,0.95,0.003323,SPIKE,1,0.8880,0.9290,0.04100,94%,INFO,,,MEAN_REVERT,PRE_GAME
2026-02-16T23:24:54Z,1771284294,Akron vs. Western Michigan,aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/event/aec-cbb-akron-wmich-2026-02-17,https://polymarket.us/market/aec-cbb-akron-wmich-2026-02-17,0.90500,0.90850,0.90450,-0.00400,0.00400,-3.28,3.28,-0.013138,DIP,1,0.8880,0.9210,0.03300,95%,ALERT,,FADE,MEAN_REVERT,PRE_GAME
2026-02-16T23:24:55Z,1771284295,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.52000,0.51950,0.51550,-0.00400,0.00400,-2.48,2.48,-0.009922,DIP,206946,0.5010,0.5300,0.02900,95%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:56Z,1771284296,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51400,0.51350,0.51000,-0.00350,0.00350,-2.61,2.61,-0.009147,DIP,206946,0.4940,0.5260,0.03200,94%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:57Z,1771284297,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.50750,0.50700,0.51600,0.00900,0.00900,-0.84,0.84,0.007592,SPIKE,207274,0.4920,0.5400,0.04800,99%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:57Z,1771284297,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51600,0.51650,0.50700,-0.00950,0.00950,-1.87,1.87,-0.017809,DIP,207284,0.4930,0.5210,0.02800,99%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:59Z,1771284299,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51750,0.51750,0.51200,-0.00550,0.00550,-0.98,0.98,-0.005379,DIP,207327,0.4930,0.5310,0.03800,97%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:25:00Z,1771284300,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.51200,0.51150,0.50850,-0.00300,0.00300,-1.36,1.36,-0.004082,DIP,207327,0.4930,0.5240,0.03100,93%,INFO,,,MEAN_REVERT,UNKNOWN
